location,year,Artist name,Co-applicant name,Film title,Link
Minnesota,2009,Stephen Gurewitz,,Marvin Seth and Stanley,
Minnesota,2009,Emily Haddad,,Artist in the Margin,http://www.emilyhaddad.com/
Minnesota,2009,Darin Heinis,,det.,
Minnesota,2009,Rosemary Sindt,,Love-Life,
Minnesota,2009,William Slichter,,The Feathered Ogre,
Minnesota,2009,Bryan Vue,Mong Vang,Journey to the Fallen Skies   ,https://www.facebook.com/journeytothefallenskies
Minnesota,2009,Molly Worre,"Carrie Volk
Minnesota,Carrie Bush",Golden Hour,https://www.facebook.com/pages/Golden-Hour-the- Film/236240673076323
Minnesota,2010,Michael Etoll,,Pilgrimage to the Grave of Tiny Tim,
Minnesota,2010,Jim Grafsgaard,,Midas Rat and Me,
Minnesota,2010,Ann Prim,,Little Words,
Minnesota,2010,Jesse Roesler,,The Starfish Throwers,
Minnesota,2010,Dustin M. Rosemark,,Blue Hands,
Minnesota,2010,Jenny Schmid,,VLD SK8R GRL,
Minnesota,2010,Anal Shah,,Chalchitra-Railyatra,http://vimeopro.com/analshah/portfolio/video/75048048
Minnesota,2011,Nathan Fisher,,Rebuilding Cold River,
Minnesota,2011,Andrew Hunt,,Noah,http://crankygiant.com/
Minnesota,2011,Rebecca Kingsley,,The Last Colony,
Minnesota,2011,Andrew Martin,,Canoe,
Minnesota,2011,Kevin Obsatz,,Crazy Horse,
Minnesota,2011,Jacob Swanson,,Walk Amongst the Living,
Minnesota,2011,Kao Lee Thao,,Gao Zoua Pa,
Minnesota,2011,Brennan Vance,,Like Father,
Minnesota,2011,Britni West,,Untitled,
Minnesota,2012,John Akre,,Demolition Dreaming,
Minnesota,2012,Nicole Brending,,Dollhouse,http://whoisjuniespoons.com/
Minnesota,2012,Susan Marks,John Kurtis Dehn,Murder in a Nutshell: The Frances Glessner Lee Story,
Minnesota,2012,Michael J. Peterson,,Insectula!,http://www.insectula.com/
Minnesota,2012,Maya Washington,,Through the Banks of the Red Cedar,
Minnesota,2012,Caleb Wood,,MN: Animated Portrait of Minnesota,
Minnesota,2013,Mitchell Arens,,Brother Bear,
Minnesota,2013,Kiera Faber,,Obscurer,http://www.kierafaber.com/home.html
Minnesota,2013,Stephen Gurewitz,,You Take Care,
Minnesota,2013,Laska Jimsen,,Deer of North America,
Minnesota,2013,Ann Prim,,The Sleepwalker-Notes from There,
Minnesota,2013,Brennan Vance,,The Missing Sun,
Minnesota,2013,Deacon Warner,,Radical Roots: Revolutions of the Twin Cities Food Co-ops,
New York City,1964,Mary Ellen Bute,,Passages from Finnegan's Wake,
New York City,1965,Stan Brakhage,,fellowship - no specific film,
New York City,1966,Stan Brakhage,,fellowship - no specific film,
New York City,1966,Gregory Markopoulos,,fellowship - no specific film,
New York City,1966,Arthur O. Whitney,,fellowship - no specific film,
New York City,1967,Stan Brakhage,,fellowship - no specific film,
New York City,1967,Peter Kubelka,,fellowship - no specific film,
New York City,1967,Peter Kubelka,,fellowship - no specific film,
New York City,1968,James Broughton,,The Golden Positions,
New York City,1969,James Broughton,,fellowship - no specific film,
New York City,1969,Peter Kubelka,,fellowship - no specific film,
New York City,1976,Stephen Mack,Barbara Moss,A Crime to Fit the Punishment,
New York City,1977,Frank Agnello,Mark Kawell,documentary on Alfred Stieglitz,
New York City,1977,Maxi Cohen,,Joe and Maxi,
New York City,1977,Sheila Paige,,Motherly Memoirs of the Bandit Queen,
New York City,1978,Lizzie Borden,,Born in Flames,
New York City,1978,"Roy Campanella, Jr.",,Pass/Fail,
New York City,1978,William Felker,Janell Felker,Flesh Fixtures,
New York City,1978,Robert Gardner,,Clarence and Angel,
New York City,1978,Marjorie Keller,,Daughters of Chaos,
New York City,1979,Bette Gordon,,Empty Suitcases,
New York City,1979,Martha Haslanger,,The Revolution,
New York City,1979,John Knecht,,Continuing The Adventures Of Adriaen Block,
New York City,1979,Ken Kobland,,The Communists are Comfortable And 3 Other Stories,http://www.kenkoblandfilms.com/home3.html
New York City,1979,David Shepardson,,"Don't bother me, I'm learning",
New York City,1980,Jane Aaron,,Remains To Be Seen,http://www.janeaaron.com/Jane_Aaron/Home.html
New York City,1980,Roberta Cantow,,If This Ain’t Heaven,http://www.originaldigital.net/home.html
New York City,1980,David Dawkins,,Floodstage,
New York City,1980,Larraine Lee,,,
New York City,1980,Sandy Moore,,"Luck In Loose Plaster and Gawrsh, I Didn’t Know You Was A Lady",
New York City,1980,Jan Oxenberg,,Thank You and Good Night,
New York City,1980,Anita Thacher,,Loose Corner,http://www.anitathacher.com/
New York City,1980,Edin Velez,,Meta-Mayan,http://www.edinvelez.com/
New York City,1981,Ericka Beckman,,You the Better,http://www.erickabeckman.com/Home.html
New York City,1981,Susan Brockman,,Soul Of A Dog,
New York City,1981,Christine Choy,,Mississippi Triangle,
New York City,1981,Mark Daniels,,The Influence of Strangers (genealogy),
New York City,1981,Rachael Feldman,,Wunderkind,
New York City,1981,Madeleine Gekiere,,They are Not Chrysanthemums: Only Man Can Make a Rivet,
New York City,1981,Emily Hubley,,Delivery Man,http://www.emilyhubley.com/
New York City,1981,Michael Korolenko,,Tam Lin,http://www.korrys.net/
New York City,1981,Shelia McLaughlin,Lynne Tillman,Committed,
New York City,1981,Mira Nair,,So Far From India,http://mirabaifilms.com/
New York City,1981,Mark Rance,,Death and the Singing Telegram,
New York City,1981,Ann Schaetzel,,Manhunt,
New York City,1981,Jo Tavener,,Down the Rabbit Hole. an Urban Fairytale,
New York City,1981,John Tintori,Mary Cybulski,Manhattan Dinner,
New York City,1982,Beth B,,Salvation!,http://www.bethbproductions.com/
New York City,1982,Jacob Burckhardt,,It Don’t Pay to Be an Honest Citizen,
New York City,1982,Ayoka Chenzira,,Hair Piece: A Film for Nappyheaded People,http://www.ayoka.com/
New York City,1982,Manuel De Landa,,Raw Nerves Part II,
New York City,1982,Sally Heckel,,Unspeakable,http://www.unspeakablethefilm.com/index.html
New York City,1982,Leandro Katz,,The Visit,http://www.leandrokatz.com/
New York City,1982,Mary Lucier,,Ohio at Giverny,
New York City,1982,Ruth Peyser,Jo Bonney,Random Positions,http://ruthpeyser.com/
New York City,1983,Alan Berliner,,The Family Album,http://www.alanberliner.com/
New York City,1983,Richard Bloes,,Tracking,http://richardbloes.com/
New York City,1983,Ed Bowes,,Oh No Paula!,http://www.walsung.com/
New York City,1983,Barbara Hammer,,Bent Time,http://barbarahammer.com/
New York City,1983,Lisa Hsia,,Made In China,
New York City,1983,Rachel Reichman,,The Riverbed,
New York City,1984,Liza Bear,,Force of Circumstances,
