Year,Artist name,Co-applicant name,Film title,Link
2004,Randy Croce,,If Stone Could Speak (Se la pietra potessero parlare),
2004,Brian L. Dehler,,North Shore,
2004,Catherine Gray,,Grace on a Stick,
2004,XinXai Her,,The Great Journal of Hmong History in China,
2004,Allison Herrera,,Prayer of the Sorrowful Mystery (working title),
2004,Dain Ingebretson,,Waiting,http://dainwrk.com/troublefilm/troublefilm.html
2004,Chris Larson,,Crush Collision,http://www.magnusmuller.com/artists/chris-larson.php
2004,Jila Nikpay,,Keepers of the Garden,http://www.jilanikpay.com/
2004,Tom Schroeder,,A Plan,
2005,Hisham Muhieddine Bizri,,The Tragedy of the Great House ,http://www.hmbizri.com/
2005,Venus DeMars,,Take My Shoulder,http://www.venusdemars.com/
2005,Joanna Kohler,,BOXERS,http://kohlerproductions.com/
2005,Teresa Konechne,,Woven from the Land: women. prairie. culture.,http://www.workinghandsproductions.com/teresa/home.html
2005,Albert Milgrom,,The Red Barn Project,
2005,Jila Nikpay,,Rhythm of Tides,http://www.jilanikpay.com/
2005,Mara V. Pelecis,,Souvenirs,http://souvenirsdocumentary.com/index.html
2005,Jason Wade,,STABBER (working title),
2005,Jake Yuzna,,Open,http://www.jakeyuzna.com/
2006,C. Channon Doerr,,A Man Made of Gold,
2006,David Eberhardt,,Korsang,
2006,Maeri S. Hedstrom,,Interludes,
2006,William Kruse,,Big Boy,http://www.rebelfilmworks.com/talent/kruse.php
2006,Moua Lee,,"Dab Neeg (A Hmong word meaning, “Stories” or “Tales”)",
2006,Wyatt McDill,,Four Boxes,http://www.contentpvdr.com/
2006,Abinadi Meza,,"Like Snow, Falling",http://abinadimeza.blogspot.com/
2006,Christopher Newberry,,American Heart,http://www.minnesotamovie.com/
2006,Mark Tang,Lu Lippold,Open Season,https://www.facebook.com/pages/Open-Season-A-Documentary/161695163848578
2007,Nicole Brending,,Rebel,
2007,Juan Antonio Del Rosario,,The System,http://threevolts.com/#JuanAntonioDelRosario
2007,Andrew J. Koehler,,List of Schindler?s Part I,
2007,Susan Marks,,Of Dolls and Murder,http://www.ofdollsandmurder.com/
2007,Jila Nikpay,,In Waiting,http://www.jilanikpay.com/
2007,Ramon Alberto Nuñez,,Invisible to You,http://ramonreel.com/
2007,Dave Ryan,,The Hungering Deep,
2008,Nicole Brending,,Duluth,
2008,Liza Davitch,,Czar of Cinema (working title),http://www.lizadavitch.com/
2008,Daniel Lundquist,,Filled In Blank,
2008,Catrin Magnusson,,Farming in a Lilac Shirt,
2008,Susannah Patrice Morse,,Haunted by the Light,
2008,Norah L. Shapiro,,Miss Tibet: Beauty in Exile,http://www.flyingpiecesproductions.com/
2008,Va-Megn Thoj,,Occult Racism: The Masking of Race in the Hmong Hunter Killings,
2009,John Akre,,Walker and Driver,http://sloppyfilms.net/
2009,Lisa Blackstone,,Grappling Girls,http://www.lisablackstoneproductions.com/home.html
2009,Stephen Gurewitz,,Marvin Seth and Stanley,
2009,Emily Haddad,,Artist in the Margin,http://www.emilyhaddad.com/
2009,Darin Heinis,,det.,
2009,Rosemary Sindt,,Love-Life,
2009,William Slichter,,The Feathered Ogre,
2009,Bryan Vue,Mong Vang,Journey to the Fallen Skies   ,https://www.facebook.com/journeytothefallenskies
